Sublibrary|Collection|Material Type|Item Status|IPS|Temp Loc|Item Count
TNS Scherman Library|Music|Sound Recordings|On Order|On order|No|3
TNS Scherman Library|Annex|Sound Recordings|In Transit|In Transit|No|1
TNS Scherman Library|SpecCol|Scores|TNS Offsite mediated available|Depository mediated|No|6
TNS Scherman Library|SpecCol|Mixed Materials|Depository|Depository|No|29
TNS Scherman Library|Reference|Books|Lost/Reorder Review|Lost/Reorder Review|No|1
TNS Scherman Library|Oversize Collection|Scores|Regular loan|Not in Process|No|19
TNS Scherman Library|SpecCol|Scores|NYU offsite prep|Offsite processing|No|1
TNS Scherman Library|Music Reference|Scores|In Transit|In Transit|No|1
TNS Scherman Library|Audio Visual|Sound Recordings|Regular loan|Not in Process|Yes|13
TNS Scherman Library|Periodicals|Books|Library Use Only|Not in Process|No|1
TNS Scherman Library|Audio Visual|Videos|Reserve 4 hour loan|Not in Process|No|5
TNS Scherman Library|Annex|Sound Recordings|Regular loan|Not in Process|No|91
TNS Scherman Library|Main Collection|Books|In House Cataloging|In House Cataloging|No|13
TNS Scherman Library|Oversize Collection|Books|Regular loan|Not in Process|No|80
TNS Scherman Library|Music|Scores|Regular loan|Not in Process|No|16070
TNS Scherman Library|Music|Scores|Depository|Depository|Yes|49
TNS Scherman Library|Music|Scores|Regular loan|Not in Process|Yes|317
TNS Scherman Library|Music Reference|Sound Recordings|Library Use Only|Not in Process|No|1
TNS Scherman Library|Audio Visual|Scores|Reserve 4 hour loan|Not in Process|No|2
TNS Scherman Library|Music|Scores|Out to Cat|Out to Cat|No|1
TNS Scherman Library|Music|Scores|NYU offsite prep|Offsite processing|No|11
TNS Scherman Library|SpecCol|Periodicals|NYU offsite prep|Offsite processing|No|9
TNS Scherman Library|Periodicals|Periodicals|Periodicals|Not in Process|No|3
TNS Scherman Library|Full Score|Scores|Library Use Only|Not in Process|No|1
TNS Scherman Library|Audio Visual|Books|Video|Not in Process|No|1
TNS Scherman Library|Audio Visual|Videos|Lost/Reorder Review|Lost/Reorder Review|Yes|2
TNS Scherman Library|Full Score|Scores|On Search|On Search|Yes|1
